Вопрос,Эталонный ответ преподавателя,Ответ студента,Оценка
Какие задачи в Spark решает фактор «кэширование DataFrame»?,"Кэширование DataFrame полезно, когда один и тот же набор данных используется в нескольких действиях или этапах пайплайна. Оно экономит повторные вычисления, но требует аккуратно следить за памятью.","Ну, тут, кажется, речь про «кэширование DataFrame». Это, типа, нужно для системы или данных. Короче, что-то в этом роде.",2
Какой эффект даёт механизм «мета-модель» в stacking?,"В stacking мета-модель учится объединять предсказания базовых моделей и использовать их сильные стороны. По сути, она получает на вход ответы нескольких моделей и решает, кому больше доверять в разных ситуациях.","Ммм, это просто техническая деталь, которая почти ничего не меняет, короче. Ну и там ещё детали есть, не помню точно.",2
Обучение с подкреплением и ансамбли,"Обучение с подкреплением основано на взаимодействии агента со средой для максимизации награды, а ансамбли объединяют несколько моделей для улучшения прогнозирования","Обучение с подкреплением основано на взаимодействии со средой, а ансамбли объединяют модели",5
Почему «оконные функции» и «GROUP BY» не считаются взаимозаменяемыми в SQL-запросах?,"Оконные функции вычисляют агрегаты по группе строк, но не схлопывают результат до одной строки на группу, в отличие от GROUP BY. Поэтому они удобны для ранжирования, бегущих итогов и сравнений внутри группы.","Эээ, оконные функции сохраняют строки, а GROUP BY агрегирует их в одну запись на группу, короче. Короче, что-то в этом роде.",3
Для чего в Random Forest отдельно контролируют аспект «снижение дисперсии ансамбля»?,Главная сила Random Forest в снижении дисперсии по сравнению с одиночным деревом решений. Усреднение многих разных деревьев делает предсказание стабильнее и менее чувствительным к шуму.,"Если кратко, то главная сила Random Forest в снижении дисперсии по сравнению с одиночным деревом решений; усреднение многих разных деревьев делает предсказание стабильнее и менее чувствительным к шуму.",5
Какую роль в ETL-пайплайнах играет фактор «идемпотентность»?,"Идемпотентность ETL важна, потому что пайплайн должен безопасно перезапускаться после сбоя без дублирования и порчи данных. Повторный запуск должен приводить к тому же состоянию, что и один корректный запуск.","Ну, тут, наверное, речь про «идемпотентность». Это, как бы, нужно для системы или данных. Ну и там ещё детали есть, не помню точно.",2
"В чем разница между данными, информацией и знаниями?","Данные - сырые факты, информация - обработанные данные с контекстом, знания - информация + понимание и опыт для принятия решений.","Данные - это сырье, информация - обработанные данные, знания - то что используется для действий.",3
Зачем в SQL-запросах нужен элемент «PARTITION BY»?,"PARTITION BY в оконных функциях задаёт, внутри каких групп строк будет считаться окно. Это позволяет отдельно считать ранги, накопительные суммы или средние по каждому пользователю, региону или категории.","Ммм, pARTITION BY в оконных функциях задаёт, внутри каких групп строк будет считаться окно, типа. Примерно так.",4
Какую роль в трансформерах играет фактор «позиционное кодирование»?,"Позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов. Позиции добавляют информации о том, где именно находится слово в последовательности.","В общем, тут, кажется, речь про «позиционное кодирование». Это, короче, нужно для системы или данных. Дальше я уже не очень помню.",2
Свойства эластичности и надёжности сложных сетей,"Эластичность - устойчивость к нагрузкам, надежность - отказоустойчивость. Зависит от структуры сети",Эластичность - способность сети масштабироваться и выдерживать пиковые нагрузки. Надежность - сохранение связности при отказах узлов. Зависит от наличия хабов и избыточности связей,5
"Примеры задач, решаемых с помощью больших графов.","Большие графы применяются для анализа социальных сетей, поиска путей в транспортных системах, моделирования связей в биоинформатике, рекомендаций и кибербезопасности.",Графы используют в соцсетях и маршрутах.,3
Как механизм «мета-модель» влияет на итоговый результат в stacking?,"В stacking мета-модель учится объединять предсказания базовых моделей и использовать их сильные стороны. По сути, она получает на вход ответы нескольких моделей и решает, кому больше доверять в разных ситуациях.","В общем, если не ошибаюсь, в stacking есть мета-модель, которая объединяет предсказания базовых моделей. Подробности работы зависят от реализации. Дальше я уже не очень помню.",3
Как фактор «разнообразие базовых моделей» влияет на качество результата в ансамблевых методах?,"Разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении. Чем менее коррелированы их ошибки, тем сильнее ансамбль.","Эээ, здесь важно, что разнообразие базовых моделей важно для ансамбля, потому что одинаково ошибающиеся модели почти не дают выигрыша при объединении; чем менее коррелированы их ошибки, тем сильнее ансамбль, короче. Примерно так.",5
Какую роль в Kafka играет фактор «ключ сообщения»?,"Ключ сообщения в Kafka влияет на выбор партиции и помогает сохранять порядок событий для одного объекта, например пользователя или заказа. Неправильный выбор ключа может сломать локальную последовательность обработки.","Ну, ключ в Kafka нужен для маршрутизации и порядка сообщений внутри объекта, типа. Ну вот, примерно так, наверное.",3
Наивный байесовский алгоритм,Наивный байесовский классификатор основан на теореме Байеса и предполагает условную независимость признаков при заданном классе для упрощения вычислений,Простой вероятностный классификатор использующий теорему Байеса,2
Как можно объяснить работу механизма «случайный выбор подмножества признаков при каждом сплите» в Random Forest на практике?,Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,"Здесь важно, что случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу; благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.",5
Структуры и типы данных в R,"Основные структуры включают векторы, матрицы, списки, фреймы данных и факторы для различных типов данных",Типы данных в языке R,2
Как выбор между «стемминг» и «лемматизация» влияет на результат в NLP?,"Стемминг грубо отрезает окончания по правилам и может давать несуществующие основы, а лемматизация пытается привести слово к нормальной словарной форме. Поэтому лемматизация обычно точнее, но сложнее и тяжелее.","Стемминг грубо отрезает окончания по правилам и может давать несуществующие основы, а лемматизация пытается привести слово к нормальной словарной форме. Это и есть ключевой смысл.",4
Примеры задач с большими графами,"Большие графы применяются для анализа социальных сетей (обнаружение сообществ, измерение влияния), в рекомендательных системах (коллаборативная фильтрация), биоинформатике (изучение взаимодействий белков) и веб-аналитике (ранжирование страниц)","Социальный сетевой анализ, персональные рекомендации и исследования в биоинформатике представляют ключевые направления использования больших графовых моделей",5
Преимущества и недостатки непараметрических моделей,"Непараметрические модели гибки и не требуют предположений о распределении данных, но могут требовать больших объемов данных и вычислительных ресурсов","Плюсы: адаптивность к сложным зависимостям; минусы: риск переобучения, высокие вычислительные затраты",3
"Для каких задач лучше подходит «стемминг», чем «лемматизация» в NLP?","Стемминг грубо отрезает окончания по правилам и может давать несуществующие основы, а лемматизация пытается привести слово к нормальной словарной форме. Поэтому лемматизация обычно точнее, но сложнее и тяжелее.","В общем, если не ошибаюсь, сильной разницы между ними нет, обычно выбирают любой вариант, в общем-то. Ну вот, примерно так, наверное.",2
Как тестируются независимые и парные выборки?,"Независимые выборки тестируются с помощью t-теста Стьюдента или U-критерия Манна-Уитни, а парные выборки - с использованием парного t-теста или критерия Вилкоксона","Независимые выборки тестируются t-тестом, парные выборки - парным t-тестом",5
"Для каких задач лучше подходит «RMSE», чем «MAE» при оценке регрессионных моделей?","RMSE возвращает ошибку в тех же единицах, что и целевая переменная, но сохраняет повышенный штраф за большие отклонения, потому что основан на MSE. MAE обычно проще интерпретировать как средний промах модели.","Смысл в том, что rMSE возвращает ошибку в тех же единицах, что и целевая переменная, но сохраняет повышенный штраф за большие отклонения, потому что основан на MSE; mAE обычно проще интерпретировать как средний промах модели.",5
Стандарты жизненного цикла Big Data: CRISP?DM,"CRISP-DM включает этапы бизнес-понимания, понимания данных, подготовки, моделирования, оценки и внедрения",CRISP-DM включает этапы от бизнес-понимания до внедрения,5
В каких задачах особенно полезно применять подход «удаление стоп-слов» в предобработке текста?,"Удаление стоп-слов бывает полезно для простых моделей поиска и bag-of-words, но не всегда помогает нейросетевым моделям и задачам, где служебные слова несут смысл. Решение зависит от модели и цели анализа.","Если кратко, то удаление стоп-слов бывает полезно для простых моделей поиска и bag-of-words, но не всегда помогает нейросетевым моделям и задачам, где служебные слова несут смысл; решение зависит от модели и цели анализа.",5
Как объяснить значимость фактора «отбор признаков» в feature engineering?,"Отбор признаков уменьшает шум, ускоряет обучение и иногда улучшает интерпретируемость модели. Лишние или дублирующие признаки могут только мешать, особенно на небольших выборках.","Отбор признаков нужен, чтобы убрать шум и лишнюю размерность.",3
Почему «DBSCAN» и «k-means» не считаются взаимозаменяемыми в кластеризации?,"DBSCAN умеет находить кластеры произвольной формы и выделять шум, а k-means требует заранее задать число кластеров и лучше работает на компактных группах. Поэтому DBSCAN удобен для данных с выбросами и неоднородной геометрией.","Ну, «DBSCAN и k-means» — это когда вот это всё используется, ну там. Дальше я уже не очень помню.",2
"Что происходит, когда в Random Forest используется механизм «случайный выбор подмножества признаков при каждом сплите»?",Случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу. Благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.,"По сути, случайный выбор подмножества признаков при каждом сплите уменьшает корреляцию между деревьями в лесу; благодаря этому ансамбль лучше обобщает и меньше зависит от одного очень сильного признака.",5
"Какие этапы включает проект, основанный на использовании модели прогнозирования?","Модели прогнозирования помогает обрабатывать большие массивы информации, выявлять скрытые паттерны, повышать точность прогнозов и снижать затраты. Используется в умных городах, здравоохранении, кибербезопасности.",Используется для прогнозов и анализа информации.,3
Фундаментальное свойство статистического обучения,"Фундаментальным свойством является компромисс между смещением и дисперсией (bias-variance tradeoff), который определяет способность модели к обобщению на новых данных",Фундаментальное свойство - компромисс между смещением и дисперсией,5
Какие навыки необходимы специалисту для работы с NLP?,"Nlp применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.","Используется компаниями для анализа клиентов, предсказания событий и оптимизации процессов.",5
Что такое Apache Hadoop?,"Фреймворк для распределенной обработки больших данных, состоящий из HDFS (распределенная файловая система) и MapReduce (модель программирования).","Это технология для работы с данными, которую используют крупные компании.",2
Как устроен механизм «self-attention» в трансформерах?,Self-attention позволяет каждому токену учитывать остальные токены последовательности и взвешивать их вклад в своё представление. Благодаря этому модель лучше улавливает дальние зависимости в тексте.,Self-attention позволяет каждому токену учитывать остальные токены последовательности и взвешивать их вклад в своё представление. Этого обычно достаточно для понимания идеи.,4
Почему организации переходят на технологии мониторинг больших данных?,"Технологии мониторинг больших данных позволяют работать с данными высокой скорости, разнообразия и объёма. Это улучшает прогнозирование, принятие решений и автоматизацию.",Эти технологии помогают работать с информацией и делать прогнозы.,3
Что такое XGBoost?,Библиотека для градиентного бустинга с оптимизацией производительности и регуляризацией.,Алгоритм градиентного бустинга с оптимизациями для скорости и качества. Использует деревья решений с регуляризацией и эффективной обработкой пропусков.,5
Как оценивается качество рекомендательных систем?,"Для оценки рекомендательных систем используются Precision@K, Recall@K, NDCG, MAP и метрики разнообразия рекомендаций","Для оценки используются Precision@K, Recall@K и NDCG",5
Что такое статистическая гипотеза? Какие виды гипотез вы знаете?,"Статистическая гипотеза — это предположение о параметрах генеральной совокупности. Различают нулевую гипотезу H0 и альтернативную H1. Пример: H0: ?1 = ?2, H1: ?1 ? ?2.","Гипотеза — предположение, нулевая и альтернативная различаются по сути проверки.",4
Как выбор между «режим обучения» и «режим инференса» влияет на результат в нейросетях?,"Режим обучения и режим инференса отличаются тем, как ведут себя слои вроде dropout и batch normalization. Если перепутать режимы, качество и поведение модели на продакшене могут резко измениться.","Эээ, если не ошибаюсь, train и inference режимы нужны, потому что некоторые слои работают в них по-разному. Но все отличия я сейчас не перечислю, типа. Ну и там ещё детали есть, не помню точно.",3
Как объяснить значимость фактора «выбор числа кластеров» в кластеризации?,"Выбор числа кластеров влияет на интерпретацию результата и на то, насколько модель дробит или сливает группы объектов. Для этого используют и метрики вроде elbow или silhouette, и предметное понимание задачи.","Выбор числа кластеров влияет на интерпретацию результата и на то, насколько модель дробит или сливает группы объектов.",4
Почему результат в компьютерном зрении зависит от фактора «рецептивное поле свёртки»?,"Рецептивное поле показывает, какую область входного изображения видит конкретный нейрон на более глубоком слое. По мере роста сети модель начинает учитывать всё более крупные паттерны и контекст.","Ну вот, рецептивное поле определяет, какой фрагмент изображения влияет на признак, ну там. Вроде бы, короче, что-то в этом роде.",3
Как фактор «регуляризация деревьев» влияет на качество результата в XGBoost?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных.,4
Процесс познания (от гипотезы к функции),"Процесс включает формулировку гипотезы, сбор данных, построение модели, валидацию и создание прогнозной функции",Гипотеза - данные - модель - функция,3
Для чего при обучении моделей градиентными методами отдельно контролируют аспект «стандартизация признаков»?,"Стандартизация признаков часто ускоряет градиентное обучение, потому что делает поверхность оптимизации более удобной для поиска минимума. Это особенно заметно в линейных моделях и нейросетях.","Стандартизация признаков часто ускоряет градиентное обучение, потому что делает поверхность оптимизации более удобной для поиска минимума.",4
Как можно объяснить работу механизма «разреженность коэффициентов при L1» в линейных моделях на практике?,"L1 создаёт разреженность, потому что штраф на абсолютные значения весов делает нулевые коэффициенты выгодным решением оптимизации. Это полезно, когда признаков много и нужна компактная модель.","Если кратко, то l1 создаёт разреженность, потому что штраф на абсолютные значения весов делает нулевые коэффициенты выгодным решением оптимизации; это полезно, когда признаков много и нужна компактная модель.",5
Какие задачи в трансформерах решает фактор «позиционное кодирование»?,"Позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов. Позиции добавляют информации о том, где именно находится слово в последовательности.","Ммм, позиционное кодирование нужно трансформеру, потому что сама attention-механика не знает порядка токенов, ну там. Примерно так.",4
Почему результат в AutoML зависит от фактора «контроль вычислительного бюджета»?,"Контроль вычислительного бюджета в AutoML важен, потому что автоматический подбор моделей быстро расходует время и вычислительные ресурсы. Ограничения по времени, памяти и числу запусков помогают получить полезный результат без лишних затрат.","Эээ, «контроль вычислительного бюджета» — это когда вот это всё используется, как бы. Ну вот, примерно так, наверное.",2
Для чего в Random Forest отдельно контролируют аспект «снижение дисперсии ансамбля»?,Главная сила Random Forest в снижении дисперсии по сравнению с одиночным деревом решений. Усреднение многих разных деревьев делает предсказание стабильнее и менее чувствительным к шуму.,"Особой роли тут нет, это просто дополнительная настройка.",2
Принципы глубокого обучения в нейросетях,"Глубокое обучение использует многослойные нейронные сети для автоматического извлечения признаков из данных, CNN специализируются на обработке изображений с помощью сверточных слоев","Глубокие нейросети автоматически извлекают признаки, сверточные сети для работы с изображениями",4
Какие риски связаны с применением распределённые вычисления?,"Распределённые вычисления используется для обработки больших объёмов информации, оптимизации бизнес?процессов и повышения качества аналитики. Сферы применения: финансы, медицина, промышленность, телекоммуникации.","Технологии позволяют улучшать качество аналитики, находить закономерности и предсказывать события.",4
Что в SQL-запросах даёт аспект «ORDER BY внутри окна»?,"ORDER BY внутри окна определяет порядок строк, от которого зависят бегущие итоги, лаги, лиды и ранги. Без корректного порядка такие вычисления часто теряют смысл.","Ммм, смысл в том, что oRDER BY внутри окна определяет порядок строк, от которого зависят бегущие итоги, лаги, лиды и ранги; без корректного порядка такие вычисления часто теряют смысл, типа. Ну, примерно так.",5
Почему в Spark важен следующий фактор: «минимизация shuffle-операций»?,"Shuffle в Spark дорогой, потому что требует перераспределения данных по сети и записи промежуточных результатов. Чем меньше ненужных shuffle, тем быстрее и стабильнее работает пайплайн.",Shuffle дорог из-за сетевой передачи и пересборки данных.,3
Что такое нормализация данных?,Приведение данных к единому масштабу без исказации соотношений.,Приведение данных к общему масштабу перед обработкой.,3
В чем преимущества применения рекомендательные системы по сравнению с традиционными методами?,"Рекомендательные системы используется для решения задач анализа данных, автоматизации процессов, построения прогностических моделей и оптимизации бизнеса. Применяется в e-commerce, банках, производстве и науке.",Используется для прогнозов и анализа информации.,3
Какие основные инструменты и технологии используются для работы с рекомендательные системы?,"Рекомендательные системы применяется в маркетинге, финансах, медицине, логистике, телекоммуникациях и промышленности. Примеры: прогнозирование, анализ поведения пользователей, автоматизация решений, выявление закономерностей.",Рекомендательные системы — это что-то про компьютеры. Применяется редко.,2
Что такое SHAP values?,"Метод объяснения предсказаний ML моделей на основе теории игр, показывающий вклад каждого признака.",Значения которые показывают вклад каждого признака в конкретное предсказание модели. Основаны на Shapley values из теории игр для справедливого распределения вклада.,5
Чем отличается использование «стемминг» и «лемматизация» в NLP?,"Стемминг грубо отрезает окончания по правилам и может давать несуществующие основы, а лемматизация пытается привести слово к нормальной словарной форме. Поэтому лемматизация обычно точнее, но сложнее и тяжелее.","Ну вот, кажется, стемминг грубее, а лемматизация точнее приводит слово к нормальной форме. Но все отличия я сейчас не перечислю. Ну и там ещё детали есть, не помню точно.",3
Для чего в XGBoost отдельно контролируют аспект «регуляризация деревьев»?,Регуляризация в XGBoost ограничивает сложность деревьев и снижает переобучение на шумных данных. Штрафы на листья и глубину помогают удерживать модель от слишком агрессивной подгонки.,"Ну, там есть штука «регуляризация деревьев», ну там. Дальше я уже не очень помню.",2
Когда в компьютерном зрении особенно важен аспект «рецептивное поле свёртки»?,"Рецептивное поле показывает, какую область входного изображения видит конкретный нейрон на более глубоком слое. По мере роста сети модель начинает учитывать всё более крупные паттерны и контекст.","Ну вот, там есть штука «рецептивное поле свёртки», ну там. Дальше я уже не очень помню.",2
Что такое большие данные и откуда они поступают?,"Большие данные - огромные объемы структурированных и неструктурированных данных, которые невозможно обработать традиционными методами. Источники: соцсети, IoT устройства, транзакционные системы, сенсоры.","Это очень большие наборы данных, требующие специальных технологий обработки. Поступают из социальных сетей, умных устройств, банковских систем, датчиков.",5
Что такое 'кластеризация'?,"Кластеризация — это процесс разделения множества объектов на группы (кластеры) так, чтобы объекты внутри одной группы были похожи, а между группами — различались.","Это метод анализа, где данные делят на части по похожим свойствам.",4
Что такое dropout в нейросетях?,"Метод регуляризации, при котором случайно выбранные нейроны игнорируются во время обучения для предотвращения переобучения.",Метод когда часть нейронов отключается во время тренировки. Борется с переобучением.,3
В чём практический смысл механизма «работа с категориальными признаками без грубого one-hot» в CatBoost?,"CatBoost умеет кодировать категориальные признаки специальными статистическими схемами, не сводя всё к наивному one-hot для высоких кардинальностей. Это часто даёт более качественные и устойчивые модели.","Здесь важно, что catBoost умеет кодировать категориальные признаки специальными статистическими схемами, не сводя всё к наивному one-hot для высоких кардинальностей; это часто даёт более качественные и устойчивые модели.",5
Почему «batch processing» и «stream processing» не считаются взаимозаменяемыми в обработке данных?,"Batch processing обрабатывает накопленные данные пакетами и подходит для периодических расчётов, а stream processing реагирует на события почти в реальном времени. Выбор зависит от допустимой задержки и характера задачи.","Ну вот, batch работает пакетами, а stream — почти сразу по мере прихода событий, ну там. Наверное, ну и там ещё детали есть, не помню точно.",3
"Что происходит, когда в Spark используется механизм «ленивое выполнение преобразований»?","Spark не выполняет трансформации сразу, а сначала строит план вычислений и запускает его только при action. Это позволяет оптимизировать DAG и уменьшать число лишних проходов по данным.","Ну вот, «ленивое выполнение преобразований» — это когда вот это всё используется, короче. Дальше я уже не очень помню.",2
Как фактор «фиксация окружения и версий зависимостей» влияет на качество результата в MLflow?,"Фиксация окружения и версий зависимостей в MLflow важна для воспроизводимости результатов. Даже хорошая модель может перестать работать одинаково, если библиотека или конфигурация среды изменилась.","Смысл в том, что фиксация окружения и версий зависимостей в MLflow критична для воспроизводимости результатов; даже хорошая модель может перестать работать одинаково, если библиотека или конфигурация среды изменилась.",5
Как работает механизм «multi-head attention» в трансформерах?,"Multi-head attention позволяет модели одновременно смотреть на разные типы связей между токенами. Отдельные головы могут фокусироваться на синтаксисе, дальних зависимостях или локальном контексте.","Если кратко, то multi-head attention позволяет модели одновременно смотреть на разные типы связей между токенами; отдельные головы могут фокусироваться на синтаксисе, дальних зависимостях или локальном контексте.",5
Что меняется после применения механизма «работа с категориальными признаками без грубого one-hot» в CatBoost?,"CatBoost умеет кодировать категориальные признаки специальными статистическими схемами, не сводя всё к наивному one-hot для высоких кардинальностей. Это часто даёт более качественные и устойчивые модели.","Ммм, catBoost специально обрабатывает категориальные признаки и не требует грубого one-hot, в общем-то. Ну вот, примерно так, наверное.",3
